键值(key),翻译(msgstr)
#PluralForms,nplurals=1; plural=0;
ID,俄语
IDS_000_001_BEWARE_RASPUTIN_WARNING,"摧毁拉斯普京！
别让它损毁特兰西瓦尼亚！"
IDS_000_001_MAIN_TASK_BRIEFING,"护卫特兰西瓦尼亚前往传送门，
保护它，别让它受到伤害！"
IDS_000_001_MAIN_TASK_TASK_END_F,"行动失败。
特兰西瓦尼亚被摧毁。"
IDS_000_001_MAIN_TASK_TASK_END_S,"行动完成！
特兰西瓦尼亚已抵达它的目的地。"
IDS_000_001_MAIN_TASK_TASK_WILL_END_F,"行动失败。
所有防御者都被摧毁。"
IDS_000_001_TRANSILVANIA_HINT,如果所有队友都离开修理区域，或有敌方战舰进入修理区域，特兰西瓦尼亚便会停下。
IDS_000_001_ZEEKASA_WARNING,反击敌人的战舰并保护好特兰西瓦尼亚！
IDS_000_011_MAIN_TASK_HINT1,如果附近有多艘友军战舰，特兰西瓦尼亚就会移动得更快。
IDS_000_011_MAIN_TASK_HINT2,当丧尸太靠近特兰西瓦尼亚时，它就会停下来。
IDS_000_021_PAYLOAD_HALF_HEALTH_TASK_END_F,受到大规模的伤害。救援行动处于危险之中！
IDS_000_022_KILL_ALL_ENEMIES_TASK_END_S,他们何时才懂得跑开？那是我们消灭的第十六个敌人了！
IDS_000_024_UNSTOPPABLE_TASK_END_F_ENEMY_IS_COMING,停下引擎！敌人靠得太近了！
IDS_000_024_UNSTOPPABLE_TASK_END_F_NO_FRIENDS,停下引擎！队友离得太远了。
IDS_000_026_ALL_ALIVE_TASK_END_F,第一位队友已被摧毁，我们正遭受损失。
IDS_0W0,Detroit
IDS_17_NA_FAULT_LINE_01,D2 和 G9方格探测到敌军活动。
IDS_1BS01,:Jorgensen:
IDS_1BS02,:Johnston:
IDS_1BS03,:Gaspar:
IDS_1BS04,:Frith:
IDS_1BS05,:Coyle:
IDS_1BS06,:Aury:
IDS_1BS07,:Alston:
IDS_1BS08,:Wynn:
IDS_1BS09,:West:
IDS_1BS10,:Thompson:
IDS_1BS11,:Skyrme:
IDS_1BS12,:Taylor:
IDS_1BS13,:Stout:
IDS_1BS14,:Stillwell:
IDS_1BS15,:Napin:
IDS_1BS16,:Luke:
IDS_1BS17,:Ireland:
IDS_1BS18,:Hoar:
IDS_1BS19,:Goldsmith:
IDS_1BS20,:Demont:
IDS_1CR01,:Neumann:
IDS_1CR02,:Morales:
IDS_1CR03,:Matos:
IDS_1CR04,:von Luckner:
IDS_1CR05,:Pease:
IDS_1CR06,:Kelly:
IDS_1CR07,:Hicks:
IDS_1CR08,:Hayes:
IDS_1CR09,:al-Hadj:
IDS_1CR10,:Abbas:
IDS_1CR11,:Soto:
IDS_1CR12,:Gilbert:
IDS_1CR13,:Diabolito:
IDS_1CR14,:Cofresi:
IDS_1CR15,:Walker:
IDS_1CR16,:Surcouf:
IDS_1CR17,:Murrell:
IDS_1CR18,:Mason:
IDS_1CR19,:Lux:
IDS_1CR20,:Lopez:
IDS_1DD01,:Elfrith:
IDS_1DD02,:Culliford:
IDS_1DD03,:Dalzeel:
IDS_1DD04,:Davis:
IDS_1DD05,:England:
IDS_1DD06,:Burn:
IDS_1DD07,:Copeland:
IDS_1DD08,:Ford:
IDS_1DD09,:Frith:
IDS_1DD10,:Lafitte:
IDS_1DD11,:Julian:
IDS_1DD12,:Kidd:
IDS_1DD13,:King:
IDS_1DD14,:Levasseur:
IDS_1DD15,:Low:
IDS_1DD16,:Lowther:
IDS_1DD17,:Moody:
IDS_1DD18,:North:
IDS_1DD19,:Plantain:
IDS_1DD20,:Quelch:
IDS_1W1,Daki
IDS_1W2,Dako
IDS_1W3,Dami
IDS_1W4,Dani
IDS_1W46,:Antis:
IDS_1W47,:Baldridge:
IDS_1W48,:Roberts:
IDS_1W49,:Pargo:
IDS_1W5,Dano
IDS_1W50,:Booth:
IDS_1W51,:Bowen:
IDS_1W52,:Bellamy:
IDS_1W53,:Teach:
IDS_1W54,:Caesar:
IDS_1W55,:Bonnet:
IDS_1W56,:Bonny:
IDS_1W57,:Brown:
IDS_1W58,:Chivers:
IDS_1W59,:Cocklyn:
IDS_1W60,:Condent:
IDS_1_AIRBASE,我方机场
IDS_1_COMPLEX,我方要塞
IDS_1_DEFENCE_EAST,博格入侵
IDS_1_DEFENCE_EAST_DESCRIPTION,"博格对瓦肯发动了突然袭击，剑指关键的战略设施。其能量护盾仍在充能，这给了我们一个很短的行动窗口期。您的任务是在护盾重新开启之前阻止博格人占领关键区域，从而保护设施。

一些被摧毁的博格战舰会掉下碎片。收集碎片就能为己队获得优势。"
IDS_1_DEFENCE_EAST_GOAL,阻止博格人占领关键区域。
IDS_1_DEFENCE_EAST_NAME,博格入侵
IDS_1_DEFENCE_EAST_RESULT_SCREEN,瓦肯行星
IDS_1_DEFENCE_NORTH,博格入侵
IDS_1_DEFENCE_NORTH_DESCRIPTION,"博格对瓦肯发动了突然袭击，剑指关键的战略设施。其能量护盾仍在充能，这给了我们一个很短的行动窗口期。您的任务是在护盾重新开启之前阻止博格人占领关键区域，从而保护设施。

一些被摧毁的博格战舰会掉下碎片。收集碎片就能为己队获得优势。"
IDS_1_DEFENCE_NORTH_GOAL,阻止博格人占领关键区域。
IDS_1_DEFENCE_NORTH_NAME,博格入侵
IDS_1_DEFENCE_NORTH_RESULT_SCREEN,瓦肯行星
IDS_1_DEFENCE_SOUTH,博格入侵
IDS_1_DEFENCE_SOUTH_DESCRIPTION,"博格对瓦肯发动了突然袭击，剑指关键的战略设施。其能量护盾仍在充能，这给了我们一个很短的行动窗口期。您的任务是在护盾重新开启之前阻止博格人占领关键区域，从而保护设施。

一些被摧毁的博格战舰会掉下碎片。收集碎片就能为己队获得优势。"
IDS_1_DEFENCE_SOUTH_GOAL,阻止博格人占领关键区域。
IDS_1_DEFENCE_SOUTH_NAME,博格入侵
IDS_1_DEFENCE_SOUTH_RESULT_SCREEN,瓦肯行星
IDS_1_DEFENCE_WEST,博格入侵
IDS_1_DEFENCE_WEST_DESCRIPTION,"博格对瓦肯发动了突然袭击，剑指关键的战略设施。其能量护盾仍在充能，这给了我们一个很短的行动窗口期。您的任务是在护盾重新开启之前阻止博格人占领关键区域，从而保护设施。

一些被摧毁的博格战舰会掉下碎片。收集碎片就能为己队获得优势。"
IDS_1_DEFENCE_WEST_GOAL,阻止博格人占领关键区域。
IDS_1_DEFENCE_WEST_NAME,博格入侵
IDS_1_DEFENCE_WEST_RESULT_SCREEN,瓦肯行星
IDS_1_GENERATOR,生成器
IDS_1_MILITARY,我方陆上设施
